LoopCnt,H10Mode,H10AssistLevel,ImuHubConnected,LeftHipAngle,RightHipAngle,LeftThighAngle,RightThighAngle,LeftHipTorque,RightHipTorque,LeftHipMotorAngle,RightHipMotorAngle,LeftHipImuGlobalAccX,LeftHipImuGlobalAccY,LeftHipImuGlobalAccZ,LeftHipImuGlobalGyrX,LeftHipImuGlobalGyrY,LeftHipImuGlobalGyrZ,RightHipImuGlobalAccX,RightHipImuGlobalAccY,RightHipImuGlobalAccZ,RightHipImuGlobalGyrX,RightHipImuGlobalGyrY,RightHipImuGlobalGyrZ,TrunkIMU_LocalAccX,TrunkIMU_LocalAccY,TrunkIMU_LocalAccZ,TrunkIMU_LocalGyrX,TrunkIMU_LocalGyrY,TrunkIMU_LocalGyrZ,TrunkIMU_QuatW,TrunkIMU_QuatX,TrunkIMU_QuatY,TrunkIMU_QuatZ,L_THIGH_IMU_QuatW,L_THIGH_IMU_QuatX,L_THIGH_IMU_QuatY,L_THIGH_IMU_QuatZ,L_THIGH_IMU_AccX,L_THIGH_IMU_AccY,L_THIGH_IMU_AccZ,L_THIGH_IMU_GyrX,L_THIGH_IMU_GyrY,L_THIGH_IMU_GyrZ,L_SHANK_IMU_QuatW,L_SHANK_IMU_QuatX,L_SHANK_IMU_QuatY,L_SHANK_IMU_QuatZ,L_SHANK_IMU_AccX,L_SHANK_IMU_AccY,L_SHANK_IMU_AccZ,L_SHANK_IMU_GyrX,L_SHANK_IMU_GyrY,L_SHANK_IMU_GyrZ,L_FOOT_IMU_QuatW,L_FOOT_IMU_QuatX,L_FOOT_IMU_QuatY,L_FOOT_IMU_QuatZ,L_FOOT_IMU_AccX,L_FOOT_IMU_AccY,L_FOOT_IMU_AccZ,L_FOOT_IMU_GyrX,L_FOOT_IMU_GyrY,L_FOOT_IMU_GyrZ,R_THIGH_IMU_QuatW,R_THIGH_IMU_QuatX,R_THIGH_IMU_QuatY,R_THIGH_IMU_QuatZ,R_THIGH_IMU_AccX,R_THIGH_IMU_AccY,R_THIGH_IMU_AccZ,R_THIGH_IMU_GyrX,R_THIGH_IMU_GyrY,R_THIGH_IMU_GyrZ,R_SHANK_IMU_QuatW,R_SHANK_IMU_QuatX,R_SHANK_IMU_QuatY,R_SHANK_IMU_QuatZ,R_SHANK_IMU_AccX,R_SHANK_IMU_AccY,R_SHANK_IMU_AccZ,R_SHANK_IMU_GyrX,R_SHANK_IMU_GyrY,R_SHANK_IMU_GyrZ,R_FOOT_IMU_QuatW,R_FOOT_IMU_QuatX,R_FOOT_IMU_QuatY,R_FOOT_IMU_QuatZ,R_FOOT_IMU_AccX,R_FOOT_IMU_AccY,R_FOOT_IMU_AccZ,R_FOOT_IMU_GyrX,R_FOOT_IMU_GyrY,R_FOOT_IMU_GyrZ
119517,0,0,1,-5.5371,-0.2856,-2.6367,2.6147,-0.0073,-0.0146,-7.3828,-2.4170,-0.0239,9.7683,0.0000,1.3733,-1.1902,-1.8311,-0.0239,9.7683,0.0000,1.3733,-1.1902,-1.8311,9.7338,-0.2057,1.0054,-0.0244,-0.0401,-0.0005,0.0810,0.6636,-0.0879,0.7385,0.5123,0.4787,-0.4804,0.5267,9.7900,-0.1900,0.8300,0.0000,0.0000,0.0000,0.6158,0.4004,-0.4991,0.4595,9.6800,0.3000,1.8000,0.0000,0.0000,0.0000,0.2315,-0.2910,-0.9278,0.0265,4.0200,-1.8000,-8.7400,0.0000,0.0000,0.0000,0.6133,-0.4057,-0.4548,-0.5023,9.4700,-0.4400,2.5400,0.0000,0.0000,0.0000,-0.5139,0.4618,0.4409,0.5728,9.6700,0.3100,1.7800,0.0000,0.0000,0.0000,0.2306,-0.4138,-0.8655,-0.1621,5.2400,0.8900,-8.2600,0.0000,0.0000,0.0000
119518,0,0,1,-5.5371,-0.2856,-2.6367,2.6147,-0.0018,0.0092,-7.3828,-2.4170,0.0048,9.7779,-0.0287,1.1597,-1.2817,-1.8616,0.0048,9.7779,-0.0287,1.1597,-1.2817,-1.8616,9.6794,-0.2087,1.0288,-0.0275,-0.0421,-0.0014,0.0811,0.6636,-0.0879,0.7384,0.5122,0.4787,-0.4805,0.5267,9.7600,-0.1300,0.8200,0.0000,0.0000,0.0000,0.6158,0.4004,-0.4991,0.4595,9.6800,0.3000,1.8000,0.0000,0.0000,0.0000,0.2315,-0.2910,-0.9278,0.0265,4.0500,-1.7900,-8.7300,0.0000,0.0000,0.0000,0.6132,-0.4057,-0.4548,-0.5023,9.3900,-0.6700,2.6100,0.0000,0.0000,0.0000,-0.5139,0.4618,0.4409,0.5728,9.6400,0.2800,1.7800,0.0000,0.0000,0.0000,0.2306,-0.4138,-0.8655,-0.1621,5.2300,0.8700,-8.2400,0.0000,0.0000,0.0000
119519,0,0,1,-5.5371,-0.2856,-2.6367,2.6147,0.0073,-0.0183,-7.3828,-2.4170,0.0575,9.7923,0.0215,1.1597,-1.3428,-1.7090,0.0575,9.7923,0.0215,1.1597,-1.3428,-1.7090,9.6794,-0.2087,1.0288,-0.0275,-0.0421,-0.0014,0.0811,0.6636,-0.0879,0.7384,0.5122,0.4787,-0.4804,0.5267,9.7400,-0.1400,0.8600,0.0000,0.0000,0.0000,0.6158,0.4004,-0.4991,0.4595,9.6600,0.2800,1.8100,0.0000,0.0000,0.0000,0.2315,-0.2910,-0.9278,0.0265,4.0500,-1.7900,-8.7300,0.0000,0.0000,0.0000,0.6132,-0.4057,-0.4548,-0.5023,9.5100,-0.4500,2.6200,0.0000,0.0000,0.0000,-0.5139,0.4617,0.4409,0.5728,9.6100,0.2500,1.7900,0.0000,0.0000,0.0000,0.2306,-0.4138,-0.8655,-0.1621,5.2300,0.8700,-8.2400,0.0000,0.0000,0.0000
119520,0,0,1,-5.5371,-0.2856,-2.6367,2.6147,0.0146,-0.0037,-7.3828,-2.4170,0.0215,9.7731,-0.0263,1.2817,-1.2817,-1.7090,0.0215,9.7731,-0.0263,1.2817,-1.2817,-1.7090,9.6837,-0.2018,1.0411,-0.0235,-0.0399,-0.0014,0.0811,0.6637,-0.0880,0.7384,0.5122,0.4788,-0.4804,0.5267,9.7800,-0.1900,0.8600,0.0000,0.0000,0.0000,0.6158,0.4004,-0.4991,0.4596,9.6600,0.2800,1.8100,0.0000,0.0000,0.0000,0.2315,-0.2910,-0.9278,0.0265,4.0300,-1.8000,-8.7200,0.0000,0.0000,0.0000,0.6131,-0.4058,-0.4548,-0.5024,9.4300,-0.4000,2.4800,0.0000,0.0000,0.0000,-0.5139,0.4617,0.4409,0.5729,9.6000,0.2400,1.8100,0.0000,0.0000,0.0000,0.2306,-0.4138,-0.8655,-0.1621,5.2100,0.8700,-8.2200,0.0000,0.0000,0.0000
119521,0,0,1,-5.5371,-0.2856,-2.6367,2.6147,-0.0055,-0.0055,-7.3828,-2.4170,0.0192,9.7109,-0.0072,1.3428,-1.1597,-1.8311,0.0192,9.7109,-0.0072,1.3428,-1.1597,-1.8311,9.6837,-0.2018,1.0411,-0.0235,-0.0399,-0.0014,0.0811,0.6637,-0.0880,0.7384,0.5122,0.4788,-0.4804,0.5267,9.7800,-0.1900,0.8600,0.0000,0.0000,0.0000,0.6158,0.4003,-0.4991,0.4596,9.6500,0.3100,1.7900,0.0000,0.0000,0.0000,0.2315,-0.2910,-0.9278,0.0265,4.0300,-1.8000,-8.7200,0.0000,0.0000,0.0000,0.6131,-0.4058,-0.4549,-0.5024,9.4500,-0.4400,2.5200,0.0000,0.0000,0.0000,-0.5139,0.4617,0.4409,0.5729,9.6000,0.2400,1.8100,0.0000,0.0000,0.0000,0.2306,-0.4138,-0.8655,-0.1621,5.2000,0.8900,-8.2400,0.0000,0.0000,0.0000
119522,0,0,1,-5.5371,-0.2856,-2.6367,2.6147,-0.0238,0.0128,-7.3828,-2.4170,0.0072,9.7683,-0.0814,0.9766,-1.3123,-1.9836,0.0072,9.7683,-0.0814,0.9766,-1.3123,-1.9836,9.6837,-0.2018,1.0411,-0.0235,-0.0399,-0.0014,0.0811,0.6637,-0.0880,0.7384,0.5121,0.4788,-0.4804,0.5268,9.7600,-0.1900,0.8600,0.0000,0.0000,0.0000,0.6158,0.4003,-0.4992,0.4596,9.6400,0.3300,1.7900,0.0000,0.0000,0.0000,0.2315,-0.2911,-0.9278,0.0265,4.0200,-1.8300,-8.7400,0.0000,0.0000,0.0000,0.6130,-0.4058,-0.4549,-0.5024,9.4600,-0.4100,2.4900,0.0000,0.0000,0.0000,-0.5138,0.4617,0.4409,0.5729,9.5800,0.2500,1.8100,0.0000,0.0000,0.0000,0.2306,-0.4138,-0.8655,-0.1621,5.2400,0.8900,-8.2500,0.0000,0.0000,0.0000
119523,0,0,1,-5.5371,-0.2856,-2.6367,2.6147,0.0037,-0.0110,-7.3828,-2.4170,0.0024,9.9359,-0.1030,0.9766,-1.2817,-1.8616,0.0024,9.9359,-0.1030,0.9766,-1.2817,-1.8616,10.2552,-0.1693,1.2121,-0.0245,-0.0233,-0.0057,0.0811,0.6638,-0.0880,0.7383,0.5121,0.4788,-0.4804,0.5268,9.7500,-0.1900,0.8500,0.0000,0.0000,0.0000,0.6158,0.4003,-0.4992,0.4596,9.6400,0.3300,1.7900,0.0000,0.0000,0.0000,0.2315,-0.2911,-0.9278,0.0265,4.0400,-1.8400,-8.7300,0.0000,0.0000,0.0000,0.6130,-0.4058,-0.4549,-0.5024,9.4600,-0.4100,2.4900,0.0000,0.0000,0.0000,-0.5138,0.4617,0.4409,0.5729,9.6000,0.2600,1.8400,0.0000,0.0000,0.0000,0.2306,-0.4138,-0.8655,-0.1621,5.2300,0.8800,-8.2200,0.0000,0.0000,0.0000
119524,0,0,1,-5.5371,-0.2856,-2.6367,2.6147,-0.0128,0.0183,-7.3828,-2.4170,-0.0694,10.0317,-0.1269,0.8240,-1.4038,-2.1667,-0.0694,10.0317,-0.1269,0.8240,-1.4038,-2.1667,10.2552,-0.1693,1.2121,-0.0245,-0.0233,-0.0057,0.0811,0.6638,-0.0880,0.7383,0.5121,0.4788,-0.4804,0.5268,9.7700,-0.1800,0.8600,0.0000,0.0000,0.0000,0.6158,0.4003,-0.4992,0.4596,9.6300,0.3400,1.7900,0.0000,0.0000,0.0000,0.2315,-0.2910,-0.9278,0.0265,4.0500,-1.7900,-8.7300,0.0000,0.0000,0.0000,0.6130,-0.4058,-0.4549,-0.5025,9.5000,-0.4200,2.5100,0.0000,0.0000,0.0000,-0.5138,0.4616,0.4409,0.5730,9.6300,0.2600,1.8500,0.0000,0.0000,0.0000,0.2306,-0.4138,-0.8655,-0.1621,5.2300,0.8800,-8.2200,0.0000,0.0000,0.0000
119525,0,0,1,-5.5591,-0.2856,-2.6587,2.6147,-0.0018,-0.0128,-7.3828,-2.4170,0.0455,9.8162,0.3424,0.6714,-1.4038,-1.5869,0.0455,9.8162,0.3424,0.6714,-1.4038,-1.5869,9.6558,-0.1836,1.2984,-0.0218,-0.0564,-0.0030,0.0812,0.6639,-0.0881,0.7382,0.5120,0.4789,-0.4804,0.5268,9.7700,-0.1000,0.8800,0.0000,0.0000,0.0000,0.6158,0.4002,-0.4992,0.4596,9.6300,0.3800,1.8000,0.0000,0.0000,0.0000,0.2315,-0.2910,-0.9278,0.0265,4.0500,-1.7900,-8.7300,0.0000,0.0000,0.0000,0.6129,-0.4058,-0.4549,-0.5025,9.5400,-0.6600,2.5900,0.0000,0.0000,0.0000,-0.5137,0.4616,0.4410,0.5730,9.6200,0.2500,1.8300,0.0000,0.0000,0.0000,0.2306,-0.4138,-0.8655,-0.1621,5.2400,0.8900,-8.2200,0.0000,0.0000,0.0000
119526,0,0,1,-5.5371,-0.2637,-2.6587,2.6147,0.0256,0.0128,-7.3828,-2.4170,-0.0192,9.8306,-0.2849,1.0681,-1.2817,-2.4719,-0.0192,9.8306,-0.2849,1.0681,-1.2817,-2.4719,9.6558,-0.1836,1.2984,-0.0218,-0.0564,-0.0030,0.0812,0.6639,-0.0881,0.7382,0.5120,0.4789,-0.4804,0.5268,9.7700,-0.1000,0.8800,0.0000,0.0000,0.0000,0.6158,0.4002,-0.4992,0.4596,9.6000,0.3600,1.7800,0.0000,0.0000,0.0000,0.2315,-0.2910,-0.9278,0.0265,4.0700,-1.7900,-8.7400,0.0000,0.0000,0.0000,0.6128,-0.4059,-0.4549,-0.5025,9.5200,-0.3600,2.6000,0.0000,0.0000,0.0000,-0.5137,0.4616,0.4410,0.5730,9.6200,0.2500,1.8300,0.0000,0.0000,0.0000,0.2306,-0.4138,-0.8655,-0.1621,5.2500,0.8800,-8.2200,0.0000,0.0000,0.0000
