LoopCnt,H10Mode,H10AssistLevel,ImuHubConnected,LeftHipAngle,RightHipAngle,LeftThighAngle,RightThighAngle,LeftHipTorque,RightHipTorque,LeftHipMotorAngle,RightHipMotorAngle,LeftHipImuGlobalAccX,LeftHipImuGlobalAccY,LeftHipImuGlobalAccZ,LeftHipImuGlobalGyrX,LeftHipImuGlobalGyrY,LeftHipImuGlobalGyrZ,RightHipImuGlobalAccX,RightHipImuGlobalAccY,RightHipImuGlobalAccZ,RightHipImuGlobalGyrX,RightHipImuGlobalGyrY,RightHipImuGlobalGyrZ,HeadIMU_LocalAccX,HeadIMU_LocalAccY,HeadIMU_LocalAccZ,HeadIMU_LocalGyrX,HeadIMU_LocalGyrY,HeadIMU_LocalGyrZ,HeadIMU_QuatW,HeadIMU_QuatX,HeadIMU_QuatY,HeadIMU_QuatZ,Pelvis_IMU_QuatW,Pelvis_IMU_QuatX,Pelvis_IMU_QuatY,Pelvis_IMU_QuatZ,Pelvis_IMU_AccX,Pelvis_IMU_AccY,Pelvis_IMU_AccZ,Pelvis_IMU_GyrX,Pelvis_IMU_GyrY,Pelvis_IMU_GyrZ,L_Upperarm_IMU_QuatW,L_Upperarm_IMU_QuatX,L_Upperarm_IMU_QuatY,L_Upperarm_IMU_QuatZ,L_Upperarm_IMU_AccX,L_Upperarm_IMU_AccY,L_Upperarm_IMU_AccZ,L_Upperarm_IMU_GyrX,L_Upperarm_IMU_GyrY,L_Upperarm_IMU_GyrZ,L_Lowerarm_IMU_QuatW,L_Lowerarm_IMU_QuatX,L_Lowerarm_IMU_QuatY,L_Lowerarm_IMU_QuatZ,L_Lowerarm_IMU_AccX,L_Lowerarm_IMU_AccY,L_Lowerarm_IMU_AccZ,L_Lowerarm_IMU_GyrX,L_Lowerarm_IMU_GyrY,L_Lowerarm_IMU_GyrZ,Chest_IMU_QuatW,Chest_IMU_QuatX,Chest_IMU_QuatY,Chest_IMU_QuatZ,Chest_IMU_AccX,Chest_IMU_AccY,Chest_IMU_AccZ,Chest_IMU_GyrX,Chest_IMU_GyrY,Chest_IMU_GyrZ,R_Upperarm_IMU_QuatW,R_Upperarm_IMU_QuatX,R_Upperarm_IMU_QuatY,R_Upperarm_IMU_QuatZ,R_Upperarm_IMU_AccX,R_Upperarm_IMU_AccY,R_Upperarm_IMU_AccZ,R_Upperarm_IMU_GyrX,R_Upperarm_IMU_GyrY,R_Upperarm_IMU_GyrZ,R_Lowerarm_IMU_QuatW,R_Lowerarm_IMU_QuatX,R_Lowerarm_IMU_QuatY,R_Lowerarm_IMU_QuatZ,R_Lowerarm_IMU_AccX,R_Lowerarm_IMU_AccY,R_Lowerarm_IMU_AccZ,R_Lowerarm_IMU_GyrX,R_Lowerarm_IMU_GyrY,R_Lowerarm_IMU_GyrZ
525669,0,0,1,-22.1704,-15.3149,-10.3711,-3.5156,0.0201,0.0037,-23.7085,-17.7759,0.0622,9.924,0.0192,0.5493,-0.946,-2.1362,0.0622,9.924,0.0192,0.5493,-0.946,-2.1362,-8.9341,1.3062,4.2483,0.008,-0.1689,0.0146,0.4953,-0.3883,0.378,0.679,0.5621,0.4114,0.5857,-0.4142,-9.82,-0.31,-0.21,0,0,0,0.4188,0.6161,0.4599,0.483,1.67,9.54,-1.71,0,0.2,0,0.3006,0.5493,0.4992,0.5988,3.08,9.37,-0.98,0,0.1,0,-0.5052,-0.4913,-0.5144,0.4884,-9.78,-0.12,-0.01,0,0,0,-0.4281,-0.5719,0.4444,0.5404,-2.48,9.53,-0.7,0,0,0,0.5185,0.6438,0.1974,0.5269,4.63,8.54,0.89,0,0,0
525670,0,0,1,-22.1704,-15.3149,-10.3711,-3.5156,-0.0092,0.0165,-23.7085,-17.7759,0.0263,9.809,0.0048,0.6714,-0.5798,-2.2583,0.0263,9.809,0.0048,0.6714,-0.5798,-2.2583,-8.8577,1.3147,4.2507,0.0042,-0.1623,0.0115,0.4954,-0.388,0.3778,0.6792,0.562,0.4114,0.5857,-0.4142,-9.82,-0.32,-0.21,0,0,0,0.4187,0.616,0.46,0.4831,1.72,9.53,-1.68,0,0.1,0,0.3006,0.5493,0.4992,0.5988,3.08,9.37,-0.98,0,0.1,0,-0.5052,-0.4913,-0.5144,0.4885,-9.79,-0.09,-0.04,0,0,0,-0.4281,-0.5719,0.4444,0.5404,-2.48,9.53,-0.7,0,0,0,0.5184,0.6438,0.1974,0.5269,4.59,8.52,0.87,0,0,0
525671,0,0,1,-22.1704,-15.3149,-10.3711,-3.5156,0.0128,0.0201,-23.7085,-17.7759,0.103,9.8737,-0.0239,0.7019,-0.885,-2.3804,0.103,9.8737,-0.0239,0.7019,-0.885,-2.3804,-8.8577,1.3147,4.2507,0.0042,-0.1623,0.0115,0.4954,-0.388,0.3778,0.6792,0.562,0.4114,0.5858,-0.4142,-9.84,-0.3,-0.19,0,0,0,0.4186,0.6159,0.4602,0.4832,1.76,9.51,-1.65,0,0.2,0,0.3004,0.5492,0.4994,0.5989,3.05,9.35,-0.95,0,0.2,0,-0.5052,-0.4913,-0.5144,0.4885,-9.82,-0.09,-0.05,0,0,0,-0.428,-0.5718,0.4445,0.5404,-2.5,9.51,-0.71,0,0,0,0.5184,0.6438,0.1974,0.5269,4.62,8.55,0.91,0,0,0
525672,0,0,1,-22.1704,-15.3149,-10.3711,-3.5156,0.0018,-0.0183,-23.7085,-17.7759,0.0335,9.7923,-0.0335,0.5493,-0.7629,-2.2583,0.0335,9.7923,-0.0335,0.5493,-0.7629,-2.2583,-8.8014,1.3538,4.2396,0.0085,-0.1629,0.0127,0.4956,-0.3877,0.3776,0.6793,0.562,0.4114,0.5858,-0.4142,-9.84,-0.3,-0.19,0,0,0,0.4186,0.6159,0.4602,0.4832,1.76,9.51,-1.65,0,0.2,0,0.3002,0.549,0.4995,0.599,3.16,9.27,-1.02,0,0.2,0,-0.5052,-0.4913,-0.5144,0.4885,-9.82,-0.09,-0.05,0,0,0,-0.428,-0.5718,0.4445,0.5404,-2.51,9.49,-0.73,0,0,0,0.5184,0.6438,0.1974,0.5269,4.61,8.52,0.9,0,0,0
525673,0,0,1,-22.1704,-15.3149,-10.3711,-3.5156,-0.0183,-0.0146,-23.7085,-17.7759,0.0407,9.7444,0.0311,0.5493,-0.7324,-2.2888,0.0407,9.7444,0.0311,0.5493,-0.7324,-2.2888,-8.8014,1.3538,4.2396,0.0085,-0.1629,0.0127,0.4956,-0.3877,0.3776,0.6793,0.562,0.4114,0.5858,-0.4142,-9.78,-0.26,-0.19,0,0,0,0.4185,0.6157,0.4604,0.4833,1.78,9.5,-1.62,0,0.2,0,0.2999,0.5489,0.4996,0.5992,3.25,9.23,-1.05,0,0.2,0,-0.5051,-0.4913,-0.5143,0.4886,-9.82,-0.06,-0.07,0,0,0,-0.428,-0.5718,0.4445,0.5405,-2.56,9.49,-0.75,0,0,0,0.5184,0.6438,0.1974,0.5269,4.61,8.52,0.9,0,0,0
525674,0,0,1,-22.1704,-15.3149,-10.3711,-3.5156,-0.0073,-0.0128,-23.7085,-17.7759,0.0503,9.8114,0.0503,0.3662,-0.885,-2.3193,0.0503,9.8114,0.0503,0.3662,-0.885,-2.3193,-8.8014,1.3538,4.2396,0.0085,-0.1629,0.0127,0.4956,-0.3877,0.3776,0.6793,0.5619,0.4114,0.5858,-0.4142,-9.78,-0.25,-0.19,0,0,0,0.4184,0.6156,0.4606,0.4834,1.85,9.47,-1.61,0,0.2,0,0.2997,0.5487,0.4997,0.5993,3.31,9.22,-1.11,0,0.2,0,-0.5051,-0.4913,-0.5143,0.4886,-9.8,-0.11,-0.06,0,0,0,-0.428,-0.5717,0.4446,0.5405,-2.55,9.5,-0.74,0,0,0,0.5183,0.6438,0.1974,0.5269,4.63,8.52,0.93,0,0,0
525675,0,0,1,-22.1704,-15.3149,-10.3711,-3.5156,-0.0073,-0.0128,-23.7085,-17.7759,0.0335,9.7875,0.0383,0.5188,-0.885,-2.1667,0.0335,9.7875,0.0383,0.5188,-0.885,-2.1667,-8.8303,1.3977,4.1764,0.0187,-0.1584,0.0128,0.4957,-0.3874,0.3775,0.6795,0.5619,0.4115,0.5858,-0.4143,-9.79,-0.26,-0.2,0,0,0,0.4182,0.6154,0.4607,0.4836,1.85,9.44,-1.55,0,0.2,0,0.2997,0.5487,0.4997,0.5993,3.31,9.22,-1.11,0,0.2,0,-0.5051,-0.4913,-0.5143,0.4887,-9.79,-0.12,-0.06,0,0,0,-0.428,-0.5717,0.4446,0.5405,-2.55,9.5,-0.74,0,0,0,0.5183,0.6438,0.1975,0.5269,4.63,8.49,0.92,0,0,0
525676,0,0,1,-22.1704,-15.293,-10.3711,-3.4937,-0.0165,-0.0238,-23.7085,-17.7759,0.0024,9.7971,0.0527,0.4272,-0.4272,-2.1667,0.0024,9.7971,0.0527,0.4272,-0.4272,-2.1667,-8.8303,1.3977,4.1764,0.0187,-0.1584,0.0128,0.4957,-0.3874,0.3775,0.6795,0.5619,0.4115,0.5858,-0.4143,-9.75,-0.27,-0.23,0,0,0,0.4182,0.6154,0.4607,0.4836,1.85,9.44,-1.55,0,0.2,0,0.2994,0.5486,0.4998,0.5995,3.3,9.22,-1.01,0,0.3,0,-0.5051,-0.4913,-0.5142,0.4887,-9.79,-0.13,-0.07,0,0,0,-0.428,-0.5717,0.4446,0.5405,-2.55,9.49,-0.74,0,0,0,0.5183,0.6438,0.1975,0.5269,4.64,8.53,0.94,0,0,0
525677,0,0,1,-22.1704,-15.293,-10.3711,-3.4937,0,0.0092,-23.7085,-17.7759,-0.0239,9.7731,0.0024,0.3357,-0.7935,-1.9531,-0.0239,9.7731,0.0024,0.3357,-0.7935,-1.9531,-8.8754,1.4059,4.09,0.016,-0.139,0.0163,0.4959,-0.3871,0.3773,0.6796,0.5619,0.4115,0.5858,-0.4143,-9.75,-0.27,-0.23,0,0,0,0.4181,0.6153,0.4609,0.4837,1.96,9.44,-1.53,0,0.2,0,0.2991,0.5484,0.5,0.5998,3.43,9.17,-1.07,0,0.3,0,-0.5051,-0.4913,-0.5142,0.4888,-9.8,-0.12,-0.05,0,0,0,-0.428,-0.5717,0.4446,0.5405,-2.57,9.51,-0.72,0,0,0,0.5183,0.6438,0.1975,0.5269,4.61,8.51,0.96,0,0,0
525678,0,0,1,-22.1704,-15.293,-10.3711,-3.4937,0.0018,-0.011,-23.7085,-17.7759,0.0263,9.8186,0.0886,0.3967,-0.8545,-1.9226,0.0263,9.8186,0.0886,0.3967,-0.8545,-1.9226,-8.8754,1.4059,4.09,0.016,-0.139,0.0163,0.4959,-0.3871,0.3773,0.6796,0.5618,0.4115,0.5858,-0.4143,-9.75,-0.27,-0.25,0,0,0,0.418,0.6151,0.4611,0.4839,2.06,9.4,-1.54,0,0.2,0,0.2987,0.5482,0.5001,0.6,3.55,9.13,-1.02,0,0.3,0,-0.5051,-0.4913,-0.5142,0.4888,-9.8,-0.12,-0.05,0,0,0,-0.428,-0.5716,0.4446,0.5405,-2.58,9.52,-0.7,0,0,0,0.5183,0.6438,0.1975,0.5269,4.61,8.51,0.96,0,0,0
