LoopCnt,H10Mode,H10AssistLevel,ImuHubConnected,LeftHipAngle,RightHipAngle,LeftThighAngle,RightThighAngle,LeftHipTorque,RightHipTorque,LeftHipMotorAngle,RightHipMotorAngle,LeftHipImuGlobalAccX,LeftHipImuGlobalAccY,LeftHipImuGlobalAccZ,LeftHipImuGlobalGyrX,LeftHipImuGlobalGyrY,LeftHipImuGlobalGyrZ,RightHipImuGlobalAccX,RightHipImuGlobalAccY,RightHipImuGlobalAccZ,RightHipImuGlobalGyrX,RightHipImuGlobalGyrY,RightHipImuGlobalGyrZ,TrunkIMU_LocalAccX,TrunkIMU_LocalAccY,TrunkIMU_LocalAccZ,TrunkIMU_LocalGyrX,TrunkIMU_LocalGyrY,TrunkIMU_LocalGyrZ,TrunkIMU_QuatW,TrunkIMU_QuatX,TrunkIMU_QuatY,TrunkIMU_QuatZ,L_THIGH_IMU_QuatW,L_THIGH_IMU_QuatX,L_THIGH_IMU_QuatY,L_THIGH_IMU_QuatZ,L_THIGH_IMU_AccX,L_THIGH_IMU_AccY,L_THIGH_IMU_AccZ,L_THIGH_IMU_GyrX,L_THIGH_IMU_GyrY,L_THIGH_IMU_GyrZ,L_SHANK_IMU_QuatW,L_SHANK_IMU_QuatX,L_SHANK_IMU_QuatY,L_SHANK_IMU_QuatZ,L_SHANK_IMU_AccX,L_SHANK_IMU_AccY,L_SHANK_IMU_AccZ,L_SHANK_IMU_GyrX,L_SHANK_IMU_GyrY,L_SHANK_IMU_GyrZ,L_FOOT_IMU_QuatW,L_FOOT_IMU_QuatX,L_FOOT_IMU_QuatY,L_FOOT_IMU_QuatZ,L_FOOT_IMU_AccX,L_FOOT_IMU_AccY,L_FOOT_IMU_AccZ,L_FOOT_IMU_GyrX,L_FOOT_IMU_GyrY,L_FOOT_IMU_GyrZ,R_THIGH_IMU_QuatW,R_THIGH_IMU_QuatX,R_THIGH_IMU_QuatY,R_THIGH_IMU_QuatZ,R_THIGH_IMU_AccX,R_THIGH_IMU_AccY,R_THIGH_IMU_AccZ,R_THIGH_IMU_GyrX,R_THIGH_IMU_GyrY,R_THIGH_IMU_GyrZ,R_SHANK_IMU_QuatW,R_SHANK_IMU_QuatX,R_SHANK_IMU_QuatY,R_SHANK_IMU_QuatZ,R_SHANK_IMU_AccX,R_SHANK_IMU_AccY,R_SHANK_IMU_AccZ,R_SHANK_IMU_GyrX,R_SHANK_IMU_GyrY,R_SHANK_IMU_GyrZ,R_FOOT_IMU_QuatW,R_FOOT_IMU_QuatX,R_FOOT_IMU_QuatY,R_FOOT_IMU_QuatZ,R_FOOT_IMU_AccX,R_FOOT_IMU_AccY,R_FOOT_IMU_AccZ,R_FOOT_IMU_GyrX,R_FOOT_IMU_GyrY,R_FOOT_IMU_GyrZ
9780,0,0,1,1.2964,4.3945,1.4502,4.5483,0.0110,0.0275,-0.3076,2.0654,-0.0742,9.7492,-0.0311,-0.1526,-1.4954,-0.1526,-0.0742,9.7492,-0.0311,-0.1526,-1.4954,-0.1526,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7618,-0.1591,-0.6179,-0.1113,9.4600,-0.9000,2.3600,0.0000,0.0000,0.0000,0.7594,-0.0203,-0.6483,0.0489,9.5400,-1.0300,1.9600,0.0000,0.0000,0.0000,0.2311,-0.2700,-0.9343,0.0263,4.0400,-1.7000,-8.7400,0.0000,0.0000,0.0000,0.7702,0.1162,-0.6160,0.1167,9.5900,0.3100,2.0500,0.0000,0.0000,0.0000,0.7377,0.0374,-0.6740,0.0041,9.7600,0.4800,0.8100,0.0000,0.0000,0.0000,0.1666,0.2534,-0.1514,0.9407,5.1500,-1.9600,8.0700,0.0000,0.0000,0.0000
9781,0,0,1,1.2964,4.3945,1.4502,4.5483,0.0256,0.0146,-0.3076,2.0654,-0.1125,9.8067,-0.0527,-0.0916,-1.8616,-0.0916,-0.1125,9.8067,-0.0527,-0.0916,-1.8616,-0.0916,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7618,-0.1591,-0.6179,-0.1113,9.4700,-0.9000,2.3600,0.0000,0.0000,0.0000,0.7594,-0.0203,-0.6483,0.0489,9.5400,-1.0300,1.9600,0.0000,0.0000,0.0000,0.2311,-0.2700,-0.9343,0.0263,4.0300,-1.7100,-8.7300,0.0000,0.0000,0.0000,0.7702,0.1162,-0.6160,0.1167,9.5900,0.3400,2.0300,0.0000,0.0000,0.0000,0.7377,0.0374,-0.6740,0.0041,9.7500,0.4700,0.8100,0.0000,0.0000,0.0000,0.1666,0.2534,-0.1514,0.9407,5.1500,-1.9600,8.0700,0.0000,0.0000,0.0000
9782,0,0,1,1.2964,4.3945,1.4502,4.5483,0.0073,-0.0183,-0.3076,2.0654,-0.0742,9.7923,-0.0096,-0.0305,-1.5564,0.1221,-0.0742,9.7923,-0.0096,-0.0305,-1.5564,0.1221,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7618,-0.1591,-0.6179,-0.1113,9.5000,-0.9100,2.3900,0.0000,0.0000,0.0000,0.7594,-0.0203,-0.6483,0.0489,9.5400,-1.0000,1.9700,0.0000,0.0000,0.0000,0.2311,-0.2700,-0.9343,0.0263,4.0500,-1.7000,-8.7200,0.0000,0.0000,0.0000,0.7702,0.1162,-0.6160,0.1167,9.5900,0.3400,2.0300,0.0000,0.0000,0.0000,0.7377,0.0374,-0.6740,0.0041,9.7500,0.4700,0.8100,0.0000,0.0000,0.0000,0.1666,0.2534,-0.1514,0.9407,5.1500,-1.9700,8.0800,0.0000,0.0000,0.0000
9783,0,0,1,1.2964,4.3945,1.4502,4.5483,0.0110,0.0092,-0.3076,2.0654,-0.0886,9.8306,0.0000,-0.1526,-1.5259,-0.0916,-0.0886,9.8306,0.0000,-0.1526,-1.5259,-0.0916,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7618,-0.1591,-0.6179,-0.1114,9.4600,-0.9400,2.3700,0.0000,0.0000,0.0000,0.7594,-0.0203,-0.6483,0.0488,9.5300,-0.9900,1.9700,0.0000,0.0000,0.0000,0.2311,-0.2700,-0.9343,0.0263,4.0500,-1.6900,-8.7300,0.0000,0.0000,0.0000,0.7702,0.1162,-0.6160,0.1167,9.5900,0.2900,2.0500,0.0000,0.0000,0.0000,0.7377,0.0374,-0.6740,0.0041,9.7600,0.4700,0.8200,0.0000,0.0000,0.0000,0.1666,0.2534,-0.1514,0.9407,5.1600,-1.9800,8.0800,0.0000,0.0000,0.0000
9784,0,0,1,1.2964,4.3945,1.4502,4.5483,-0.0165,-0.0128,-0.3076,2.0654,-0.0383,9.8162,-0.0215,-0.1221,-1.4648,-0.2136,-0.0383,9.8162,-0.0215,-0.1221,-1.4648,-0.2136,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7618,-0.1591,-0.6179,-0.1113,9.4500,-0.9200,2.3800,0.0000,0.0000,0.0000,0.7594,-0.0203,-0.6483,0.0488,9.5500,-1.0200,1.9700,0.0000,0.0000,0.0000,0.2311,-0.2700,-0.9343,0.0263,4.0600,-1.6900,-8.7400,0.0000,0.0000,0.0000,0.7702,0.1162,-0.6160,0.1167,9.5800,0.3100,2.0400,0.0000,0.0000,0.0000,0.7377,0.0374,-0.6740,0.0041,9.7400,0.4600,0.8200,0.0000,0.0000,0.0000,0.1666,0.2534,-0.1514,0.9407,5.1500,-1.9800,8.0900,0.0000,0.0000,0.0000
9785,0,0,1,1.2964,4.3945,1.4502,4.5483,0.0000,0.0256,-0.3076,2.0654,-0.0886,9.7827,0.0096,-0.0916,-1.5869,-0.0610,-0.0886,9.7827,0.0096,-0.0916,-1.5869,-0.0610,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7618,-0.1591,-0.6179,-0.1113,9.4500,-0.9200,2.3800,0.0000,0.0000,0.0000,0.7594,-0.0203,-0.6483,0.0489,9.5500,-1.0300,1.9800,0.0000,0.0000,0.0000,0.2311,-0.2700,-0.9343,0.0263,4.0600,-1.6900,-8.7400,0.0000,0.0000,0.0000,0.7702,0.1162,-0.6160,0.1167,9.5800,0.3000,2.0400,0.0000,0.0000,0.0000,0.7377,0.0374,-0.6740,0.0041,9.7500,0.4600,0.8200,0.0000,0.0000,0.0000,0.1666,0.2534,-0.1514,0.9407,5.1200,-1.9600,8.0800,0.0000,0.0000,0.0000
9786,0,0,1,1.2964,4.3945,1.4502,4.5483,0.0220,0.0128,-0.3076,2.0654,-0.1269,9.7109,-0.0168,0.0305,-1.5564,-0.0916,-0.1269,9.7109,-0.0168,0.0305,-1.5564,-0.0916,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7618,-0.1590,-0.6180,-0.1113,9.4200,-0.9200,2.3900,0.0000,0.0000,0.0000,0.7594,-0.0203,-0.6483,0.0489,9.5500,-1.0300,1.9800,0.0000,0.0000,0.0000,0.2311,-0.2700,-0.9343,0.0263,4.0400,-1.6900,-8.7300,0.0000,0.0000,0.0000,0.7702,0.1162,-0.6160,0.1166,9.5800,0.3000,2.0400,0.0000,0.0000,0.0000,0.7377,0.0374,-0.6740,0.0041,9.7300,0.4700,0.8100,0.0000,0.0000,0.0000,0.1666,0.2534,-0.1514,0.9407,5.1400,-1.9600,8.0900,0.0000,0.0000,0.0000
9787,0,0,1,1.2964,4.3945,1.4502,4.5483,0.0110,-0.0165,-0.3076,2.0654,-0.0982,9.7827,-0.0120,0.1831,-1.5869,-0.1221,-0.0982,9.7827,-0.0120,0.1831,-1.5869,-0.1221,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7618,-0.1590,-0.6180,-0.1113,9.4100,-0.9200,2.3600,0.0000,0.0000,0.0000,0.7594,-0.0203,-0.6483,0.0489,9.5400,-1.0400,1.9900,0.0000,0.0000,0.0000,0.2311,-0.2700,-0.9343,0.0263,4.0500,-1.7000,-8.7400,0.0000,0.0000,0.0000,0.7702,0.1162,-0.6160,0.1166,9.5800,0.3000,2.0400,0.0000,0.0000,0.0000,0.7377,0.0374,-0.6740,0.0041,9.7300,0.4700,0.8100,0.0000,0.0000,0.0000,0.1666,0.2534,-0.1514,0.9407,5.1400,-1.9600,8.0900,0.0000,0.0000,0.0000
9788,0,0,1,1.2964,4.3945,1.4502,4.5483,-0.0055,0.0146,-0.3076,2.0654,-0.0694,9.8258,0.0168,0.0916,-1.5259,-0.2136,-0.0694,9.8258,0.0168,0.0916,-1.5259,-0.2136,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7618,-0.1590,-0.6179,-0.1114,9.4200,-0.8900,2.3400,0.0000,0.0000,0.0000,0.7594,-0.0203,-0.6483,0.0489,9.5400,-1.0500,1.9900,0.0000,0.0000,0.0000,0.2311,-0.2700,-0.9343,0.0263,4.0400,-1.7000,-8.7200,0.0000,0.0000,0.0000,0.7702,0.1162,-0.6160,0.1166,9.5700,0.2800,2.0300,0.0000,0.0000,0.0000,0.7377,0.0374,-0.6740,0.0041,9.7400,0.4600,0.8100,0.0000,0.0000,0.0000,0.1666,0.2534,-0.1514,0.9407,5.1200,-1.9600,8.0700,0.0000,0.0000,0.0000
9789,0,0,1,1.2964,4.3945,1.4502,4.5483,0.0092,0.0110,-0.3076,2.0654,-0.0551,9.8067,-0.0024,-0.1526,-1.6479,-0.2136,-0.0551,9.8067,-0.0024,-0.1526,-1.6479,-0.2136,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7618,-0.1590,-0.6179,-0.1114,9.4100,-0.9200,2.3400,0.0000,0.0000,0.0000,0.7594,-0.0203,-0.6483,0.0489,9.5300,-1.0600,1.9800,0.0000,0.0000,0.0000,0.2311,-0.2700,-0.9343,0.0263,4.0600,-1.6900,-8.7300,0.0000,0.0000,0.0000,0.7702,0.1162,-0.6161,0.1167,9.5400,0.2800,2.0300,0.0000,0.0000,0.0000,0.7377,0.0374,-0.6740,0.0041,9.7300,0.4600,0.8200,0.0000,0.0000,0.0000,0.1666,0.2534,-0.1514,0.9407,5.1400,-1.9600,8.0900,0.0000,0.0000,0.0000
