LoopCnt,H10Mode,H10AssistLevel,ImuHubConnected,LeftHipAngle,RightHipAngle,LeftThighAngle,RightThighAngle,LeftHipTorque,RightHipTorque,LeftHipMotorAngle,RightHipMotorAngle,LeftHipImuGlobalAccX,LeftHipImuGlobalAccY,LeftHipImuGlobalAccZ,LeftHipImuGlobalGyrX,LeftHipImuGlobalGyrY,LeftHipImuGlobalGyrZ,RightHipImuGlobalAccX,RightHipImuGlobalAccY,RightHipImuGlobalAccZ,RightHipImuGlobalGyrX,RightHipImuGlobalGyrY,RightHipImuGlobalGyrZ,TrunkIMU_LocalAccX,TrunkIMU_LocalAccY,TrunkIMU_LocalAccZ,TrunkIMU_LocalGyrX,TrunkIMU_LocalGyrY,TrunkIMU_LocalGyrZ,TrunkIMU_QuatW,TrunkIMU_QuatX,TrunkIMU_QuatY,TrunkIMU_QuatZ,L_THIGH_IMU_QuatW,L_THIGH_IMU_QuatX,L_THIGH_IMU_QuatY,L_THIGH_IMU_QuatZ,L_THIGH_IMU_AccX,L_THIGH_IMU_AccY,L_THIGH_IMU_AccZ,L_THIGH_IMU_GyrX,L_THIGH_IMU_GyrY,L_THIGH_IMU_GyrZ,L_SHANK_IMU_QuatW,L_SHANK_IMU_QuatX,L_SHANK_IMU_QuatY,L_SHANK_IMU_QuatZ,L_SHANK_IMU_AccX,L_SHANK_IMU_AccY,L_SHANK_IMU_AccZ,L_SHANK_IMU_GyrX,L_SHANK_IMU_GyrY,L_SHANK_IMU_GyrZ,L_FOOT_IMU_QuatW,L_FOOT_IMU_QuatX,L_FOOT_IMU_QuatY,L_FOOT_IMU_QuatZ,L_FOOT_IMU_AccX,L_FOOT_IMU_AccY,L_FOOT_IMU_AccZ,L_FOOT_IMU_GyrX,L_FOOT_IMU_GyrY,L_FOOT_IMU_GyrZ,R_THIGH_IMU_QuatW,R_THIGH_IMU_QuatX,R_THIGH_IMU_QuatY,R_THIGH_IMU_QuatZ,R_THIGH_IMU_AccX,R_THIGH_IMU_AccY,R_THIGH_IMU_AccZ,R_THIGH_IMU_GyrX,R_THIGH_IMU_GyrY,R_THIGH_IMU_GyrZ,R_SHANK_IMU_QuatW,R_SHANK_IMU_QuatX,R_SHANK_IMU_QuatY,R_SHANK_IMU_QuatZ,R_SHANK_IMU_AccX,R_SHANK_IMU_AccY,R_SHANK_IMU_AccZ,R_SHANK_IMU_GyrX,R_SHANK_IMU_GyrY,R_SHANK_IMU_GyrZ,R_FOOT_IMU_QuatW,R_FOOT_IMU_QuatX,R_FOOT_IMU_QuatY,R_FOOT_IMU_QuatZ,R_FOOT_IMU_AccX,R_FOOT_IMU_AccY,R_FOOT_IMU_AccZ,R_FOOT_IMU_GyrX,R_FOOT_IMU_GyrY,R_FOOT_IMU_GyrZ
393051,0,0,1,6.9214,9.7559,3.7793,6.6138,0.0183,-0.0092,5.7788,6.9653,-0.0407,9.8665,0.0958,1.4954,0.8545,0.2136,-0.0407,9.8665,0.0958,1.4954,0.8545,0.2136,9.7766,0.6321,0.4032,0.0021,-0.0070,-0.0002,-0.0448,0.6861,0.0903,0.7205,0.1511,0.5863,-0.1795,0.7753,9.4200,-0.9900,2.4100,0.0000,0.0000,0.0000,0.7240,-0.0696,-0.6830,-0.0655,9.7400,-0.0900,0.5700,0.0000,0.0000,0.0000,0.2145,0.2633,-0.9341,0.1091,4.4900,-0.8600,-8.6600,0.0000,0.0000,0.0000,-0.7306,-0.2756,0.5459,-0.3034,9.4300,0.7100,2.4400,0.0000,0.0000,0.0000,0.6469,0.3300,-0.5804,0.3682,9.7300,-0.0100,1.0800,0.0000,0.0000,0.0000,-0.3961,0.1955,0.0595,0.8951,3.8800,-0.4700,8.9600,0.0000,0.0000,0.0000
393052,0,0,1,6.9214,9.7559,3.7793,6.6138,0.0000,0.0073,5.7788,6.9653,-0.0239,9.8402,0.0192,1.3733,0.7324,0.2747,-0.0239,9.8402,0.0192,1.3733,0.7324,0.2747,9.7766,0.6321,0.4032,0.0021,-0.0070,-0.0002,-0.0448,0.6861,0.0903,0.7205,0.1511,0.5863,-0.1795,0.7753,9.4600,-0.9700,2.4000,0.0000,0.0000,0.0000,0.7240,-0.0696,-0.6830,-0.0655,9.7600,-0.1200,0.5700,0.0000,0.0000,0.0000,0.2145,0.2633,-0.9341,0.1091,4.4800,-0.8800,-8.6600,0.0000,0.0000,0.0000,-0.7306,-0.2757,0.5459,-0.3034,9.4600,0.7100,2.4600,0.0000,0.0000,0.0000,0.6469,0.3300,-0.5804,0.3682,9.7300,-0.0100,1.0800,0.0000,0.0000,0.0000,-0.3961,0.1955,0.0595,0.8951,3.8800,-0.4700,8.9600,0.0000,0.0000,0.0000
393053,0,0,1,6.9214,9.7559,3.7793,6.6138,-0.0275,-0.0220,5.7788,6.9653,0.0287,9.8928,0.0311,1.1902,0.4272,0.2441,0.0287,9.8928,0.0311,1.1902,0.4272,0.2441,9.7633,0.6818,0.4179,0.0036,-0.0057,-0.0007,-0.0448,0.6861,0.0903,0.7205,0.1511,0.5863,-0.1795,0.7753,9.4300,-0.9600,2.4100,0.0000,0.0000,0.0000,0.7240,-0.0696,-0.6830,-0.0655,9.7700,-0.1100,0.5800,0.0000,0.0000,0.0000,0.2145,0.2633,-0.9341,0.1091,4.5000,-0.8800,-8.6500,0.0000,0.0000,0.0000,-0.7306,-0.2757,0.5459,-0.3034,9.4600,0.7100,2.4600,0.0000,0.0000,0.0000,0.6469,0.3300,-0.5804,0.3682,9.7500,-0.0100,1.0800,0.0000,0.0000,0.0000,-0.3961,0.1955,0.0595,0.8951,3.8800,-0.4600,8.9600,0.0000,0.0000,0.0000
393054,0,0,1,6.9214,9.7559,3.7793,6.6138,-0.0055,-0.0110,5.7788,6.9653,-0.0192,9.8450,-0.0144,1.5564,0.7019,0.1831,-0.0192,9.8450,-0.0144,1.5564,0.7019,0.1831,9.7633,0.6818,0.4179,0.0036,-0.0057,-0.0007,-0.0448,0.6861,0.0903,0.7205,0.1511,0.5863,-0.1795,0.7753,9.4300,-0.9800,2.4100,0.0000,0.0000,0.0000,0.7240,-0.0696,-0.6830,-0.0655,9.7700,-0.1100,0.5800,0.0000,0.0000,0.0000,0.2145,0.2633,-0.9341,0.1091,4.5100,-0.8900,-8.6500,0.0000,0.0000,0.0000,-0.7306,-0.2757,0.5459,-0.3034,9.4700,0.7100,2.4600,0.0000,0.0000,0.0000,0.6469,0.3300,-0.5804,0.3682,9.7500,-0.0100,1.0800,0.0000,0.0000,0.0000,-0.3961,0.1955,0.0595,0.8951,3.8700,-0.4700,8.9800,0.0000,0.0000,0.0000
393055,0,0,1,6.9214,9.7559,3.7793,6.6138,0.0055,0.0128,5.7788,6.9653,-0.0120,9.8138,0.0263,1.4954,0.7935,0.3357,-0.0120,9.8138,0.0263,1.4954,0.7935,0.3357,9.7513,0.6344,0.4007,0.0037,-0.0053,0.0015,-0.0448,0.6861,0.0903,0.7205,0.1511,0.5863,-0.1795,0.7753,9.4300,-0.9800,2.4100,0.0000,0.0000,0.0000,0.7240,-0.0696,-0.6830,-0.0655,9.7700,-0.1000,0.5900,0.0000,0.0000,0.0000,0.2145,0.2633,-0.9341,0.1091,4.4900,-0.8700,-8.6500,0.0000,0.0000,0.0000,-0.7306,-0.2757,0.5459,-0.3034,9.4700,0.7100,2.4600,0.0000,0.0000,0.0000,0.6469,0.3300,-0.5804,0.3682,9.7200,-0.0100,1.0900,0.0000,0.0000,0.0000,-0.3961,0.1955,0.0595,0.8951,3.8800,-0.4600,8.9800,0.0000,0.0000,0.0000
393056,0,0,1,6.9214,9.7559,3.7793,6.6138,-0.0073,-0.0018,5.7788,6.9653,-0.0287,9.7827,0.0215,1.4038,0.4578,0.1221,-0.0287,9.7827,0.0215,1.4038,0.4578,0.1221,9.7513,0.6344,0.4007,0.0037,-0.0053,0.0015,-0.0448,0.6861,0.0903,0.7205,0.1511,0.5863,-0.1795,0.7753,9.4400,-0.9600,2.4200,0.0000,0.0000,0.0000,0.7240,-0.0696,-0.6830,-0.0655,9.7800,-0.1100,0.5700,0.0000,0.0000,0.0000,0.2145,0.2633,-0.9341,0.1091,4.4900,-0.8700,-8.6500,0.0000,0.0000,0.0000,-0.7306,-0.2757,0.5459,-0.3034,9.4100,0.7200,2.4300,0.0000,0.0000,0.0000,0.6469,0.3300,-0.5804,0.3682,9.7300,-0.0100,1.0700,0.0000,0.0000,0.0000,-0.3961,0.1955,0.0595,0.8951,3.9000,-0.4600,8.9700,0.0000,0.0000,0.0000
393057,0,0,1,6.9214,9.7559,3.7793,6.6138,0.0165,-0.0220,5.7788,6.9653,-0.0048,9.8737,0.0575,1.6785,0.5798,0.3967,-0.0048,9.8737,0.0575,1.6785,0.5798,0.3967,9.7513,0.6344,0.4007,0.0037,-0.0053,0.0015,-0.0448,0.6861,0.0903,0.7205,0.1511,0.5863,-0.1795,0.7753,9.4400,-0.9400,2.4200,0.0000,0.0000,0.0000,0.7240,-0.0697,-0.6830,-0.0655,9.7900,-0.1100,0.5700,0.0000,0.0000,0.0000,0.2144,0.2633,-0.9341,0.1091,4.4900,-0.9000,-8.6600,0.0000,0.0000,0.0000,-0.7306,-0.2757,0.5459,-0.3034,9.4100,0.7200,2.4300,0.0000,0.0000,0.0000,0.6469,0.3300,-0.5804,0.3682,9.7300,-0.0100,1.0700,0.0000,0.0000,0.0000,-0.3961,0.1955,0.0595,0.8951,3.9000,-0.4600,8.9700,0.0000,0.0000,0.0000
393058,0,0,1,6.9214,9.7559,3.7793,6.6138,-0.0055,0.0238,5.7788,6.9653,0.0000,9.8521,0.0335,1.3733,0.6409,0.2441,0.0000,9.8521,0.0335,1.3733,0.6409,0.2441,9.8142,0.6985,0.4630,0.0027,-0.0065,0.0014,-0.0448,0.6861,0.0903,0.7205,0.1511,0.5863,-0.1795,0.7753,9.4600,-0.9600,2.4200,0.0000,0.0000,0.0000,0.7240,-0.0697,-0.6830,-0.0655,9.7600,-0.1300,0.5600,0.0000,0.0000,0.0000,0.2144,0.2633,-0.9341,0.1091,4.4900,-0.8800,-8.6600,0.0000,0.0000,0.0000,-0.7306,-0.2757,0.5459,-0.3034,9.4100,0.7000,2.4200,0.0000,0.0000,0.0000,0.6469,0.3300,-0.5804,0.3682,9.7500,-0.0300,1.0900,0.0000,0.0000,0.0000,-0.3961,0.1955,0.0595,0.8951,3.8900,-0.4700,8.9700,0.0000,0.0000,0.0000
393059,0,0,1,6.9214,9.7559,3.7793,6.6138,0.0146,0.0000,5.7788,6.9653,-0.0144,9.8282,0.0335,1.3428,0.6714,0.3357,-0.0144,9.8282,0.0335,1.3428,0.6714,0.3357,9.8142,0.6985,0.4630,0.0027,-0.0065,0.0014,-0.0448,0.6861,0.0903,0.7205,0.1511,0.5863,-0.1795,0.7753,9.4400,-0.9400,2.4100,0.0000,0.0000,0.0000,0.7240,-0.0697,-0.6830,-0.0655,9.7600,-0.1300,0.5600,0.0000,0.0000,0.0000,0.2145,0.2633,-0.9341,0.1091,4.5000,-0.8500,-8.6400,0.0000,0.0000,0.0000,-0.7306,-0.2757,0.5459,-0.3034,9.4100,0.7000,2.4300,0.0000,0.0000,0.0000,0.6469,0.3300,-0.5804,0.3682,9.7200,-0.0200,1.0600,0.0000,0.0000,0.0000,-0.3961,0.1955,0.0595,0.8951,3.9100,-0.4900,8.9800,0.0000,0.0000,0.0000
393060,0,0,1,6.9214,9.7559,3.7793,6.6138,0.0073,0.0220,5.7788,6.9653,-0.0239,9.8234,0.0622,1.4954,0.7935,0.3357,-0.0239,9.8234,0.0622,1.4954,0.7935,0.3357,9.8118,0.6513,0.4357,0.0049,-0.0036,-0.0010,-0.0448,0.6861,0.0903,0.7205,0.1511,0.5863,-0.1795,0.7753,9.4400,-0.9400,2.4100,0.0000,0.0000,0.0000,0.7240,-0.0697,-0.6830,-0.0655,9.7800,-0.1300,0.5700,0.0000,0.0000,0.0000,0.2145,0.2633,-0.9341,0.1091,4.4900,-0.8800,-8.6400,0.0000,0.0000,0.0000,-0.7306,-0.2757,0.5459,-0.3034,9.4400,0.7000,2.4200,0.0000,0.0000,0.0000,0.6469,0.3300,-0.5804,0.3682,9.7300,-0.0200,1.0700,0.0000,0.0000,0.0000,-0.3961,0.1955,0.0595,0.8951,3.8800,-0.4600,8.9500,0.0000,0.0000,0.0000
