LoopCnt,H10Mode,H10AssistLevel,ImuHubConnected,SyncSignal,LeftHipAngle,RightHipAngle,LeftThighAngle,RightThighAngle,LeftHipTorque,RightHipTorque,LeftHipMotorAngle,RightHipMotorAngle,LeftHipImuGlobalAccX,LeftHipImuGlobalAccY,LeftHipImuGlobalAccZ,LeftHipImuGlobalGyrX,LeftHipImuGlobalGyrY,LeftHipImuGlobalGyrZ,RightHipImuGlobalAccX,RightHipImuGlobalAccY,RightHipImuGlobalAccZ,RightHipImuGlobalGyrX,RightHipImuGlobalGyrY,RightHipImuGlobalGyrZ,TrunkIMU_LocalAccX,TrunkIMU_LocalAccY,TrunkIMU_LocalAccZ,TrunkIMU_LocalGyrX,TrunkIMU_LocalGyrY,TrunkIMU_LocalGyrZ,TrunkIMU_QuatW,TrunkIMU_QuatX,TrunkIMU_QuatY,TrunkIMU_QuatZ,L_THIGH_IMU_QuatW,L_THIGH_IMU_QuatX,L_THIGH_IMU_QuatY,L_THIGH_IMU_QuatZ,L_THIGH_IMU_AccX,L_THIGH_IMU_AccY,L_THIGH_IMU_AccZ,L_THIGH_IMU_GyrX,L_THIGH_IMU_GyrY,L_THIGH_IMU_GyrZ,L_SHANK_IMU_QuatW,L_SHANK_IMU_QuatX,L_SHANK_IMU_QuatY,L_SHANK_IMU_QuatZ,L_SHANK_IMU_AccX,L_SHANK_IMU_AccY,L_SHANK_IMU_AccZ,L_SHANK_IMU_GyrX,L_SHANK_IMU_GyrY,L_SHANK_IMU_GyrZ,L_FOOT_IMU_QuatW,L_FOOT_IMU_QuatX,L_FOOT_IMU_QuatY,L_FOOT_IMU_QuatZ,L_FOOT_IMU_AccX,L_FOOT_IMU_AccY,L_FOOT_IMU_AccZ,L_FOOT_IMU_GyrX,L_FOOT_IMU_GyrY,L_FOOT_IMU_GyrZ,R_THIGH_IMU_QuatW,R_THIGH_IMU_QuatX,R_THIGH_IMU_QuatY,R_THIGH_IMU_QuatZ,R_THIGH_IMU_AccX,R_THIGH_IMU_AccY,R_THIGH_IMU_AccZ,R_THIGH_IMU_GyrX,R_THIGH_IMU_GyrY,R_THIGH_IMU_GyrZ,R_SHANK_IMU_QuatW,R_SHANK_IMU_QuatX,R_SHANK_IMU_QuatY,R_SHANK_IMU_QuatZ,R_SHANK_IMU_AccX,R_SHANK_IMU_AccY,R_SHANK_IMU_AccZ,R_SHANK_IMU_GyrX,R_SHANK_IMU_GyrY,R_SHANK_IMU_GyrZ,R_FOOT_IMU_QuatW,R_FOOT_IMU_QuatX,R_FOOT_IMU_QuatY,R_FOOT_IMU_QuatZ,R_FOOT_IMU_AccX,R_FOOT_IMU_AccY,R_FOOT_IMU_AccZ,R_FOOT_IMU_GyrX,R_FOOT_IMU_GyrY,R_FOOT_IMU_GyrZ
41419,0,0,1,0.0000,3.7573,5.4712,1.8896,3.6035,-0.0092,-0.0018,-1.8018,0.8789,0.0144,9.8282,0.0479,0.5798,-1.6785,0.0916,0.0144,9.8282,0.0479,0.5798,-1.6785,0.0916,9.7592,-0.1645,0.1753,-0.0043,0.0039,0.0005,0.6324,-0.3345,-0.6152,-0.3312,0.6788,0.3382,-0.5820,0.2931,9.6600,1.1400,0.9200,0.0000,0.0000,0.0000,0.7052,0.1970,-0.6607,0.1648,9.7600,0.6200,0.4900,0.0000,0.0000,0.0000,0.0879,-0.9745,-0.0203,-0.2049,3.9400,-1.5800,-8.8100,0.0000,0.0000,0.0000,0.7351,0.0766,-0.6641,0.1124,9.7100,-0.3100,1.0400,0.0000,0.0000,0.0000,0.5678,0.4418,-0.5292,0.4496,9.7600,0.3100,0.4800,0.0000,0.0000,0.0000,0.0787,0.9676,-0.0445,0.2357,4.5300,1.3000,-8.5800,0.0000,0.0000,0.0000
41420,0,0,1,0.0000,3.7573,5.4712,1.8896,3.6035,-0.0055,0.0165,-1.8018,0.8789,-0.0215,9.8138,-0.0120,0.6409,-1.8616,-0.0916,-0.0215,9.8138,-0.0120,0.6409,-1.8616,-0.0916,9.7511,-0.1567,0.1982,0.0007,0.0027,0.0018,0.6324,-0.3345,-0.6152,-0.3313,0.6788,0.3382,-0.5820,0.2931,9.6600,1.1300,0.9200,0.0000,0.0000,0.0000,0.7052,0.1970,-0.6607,0.1648,9.7500,0.6200,0.5100,0.0000,0.0000,0.0000,0.0879,-0.9746,-0.0203,-0.2049,3.9400,-1.5700,-8.8200,0.0000,0.0000,0.0000,0.7351,0.0766,-0.6641,0.1124,9.7200,-0.3200,1.0500,0.0000,0.0000,0.0000,0.5678,0.4418,-0.5292,0.4496,9.7800,0.3000,0.4800,0.0000,0.0000,0.0000,0.0787,0.9676,-0.0445,0.2357,4.5300,1.3100,-8.5600,0.0000,0.0000,0.0000
41421,0,0,1,0.0000,3.7573,5.4712,1.8896,3.6035,0.0128,-0.0110,-1.8018,0.8789,-0.0311,9.7492,0.0311,0.7935,-1.7395,-0.0610,-0.0311,9.7492,0.0311,0.7935,-1.7395,-0.0610,9.7511,-0.1567,0.1982,0.0007,0.0027,0.0018,0.6324,-0.3345,-0.6152,-0.3313,0.6789,0.3382,-0.5820,0.2931,9.6800,1.1200,0.9200,0.0000,0.0000,0.0000,0.7052,0.1970,-0.6607,0.1648,9.7500,0.6200,0.5100,0.0000,0.0000,0.0000,0.0879,-0.9746,-0.0203,-0.2049,3.9300,-1.5700,-8.8200,0.0000,0.0000,0.0000,0.7351,0.0767,-0.6641,0.1124,9.7200,-0.3300,1.0600,0.0000,0.0000,0.0000,0.5678,0.4418,-0.5292,0.4496,9.7800,0.3000,0.4800,0.0000,0.0000,0.0000,0.0787,0.9676,-0.0445,0.2357,4.5200,1.2800,-8.5800,0.0000,0.0000,0.0000
41422,0,0,1,0.0000,3.7573,5.4712,1.8896,3.6035,0.0000,0.0037,-1.8018,0.8789,0.0120,9.8210,0.0120,0.6409,-1.5869,-0.0916,0.0120,9.8210,0.0120,0.6409,-1.5869,-0.0916,9.7511,-0.1567,0.1982,0.0007,0.0027,0.0018,0.6324,-0.3345,-0.6152,-0.3313,0.6789,0.3382,-0.5820,0.2931,9.6700,1.1100,0.9300,0.0000,0.0000,0.0000,0.7052,0.1970,-0.6607,0.1648,9.7600,0.6200,0.5200,0.0000,0.0000,0.0000,0.0879,-0.9746,-0.0203,-0.2049,3.9300,-1.5700,-8.8200,0.0000,0.0000,0.0000,0.7351,0.0767,-0.6641,0.1124,9.7150,-0.3300,1.0550,0.0000,0.0000,0.0000,0.5678,0.4418,-0.5292,0.4496,9.7700,0.3000,0.4700,0.0000,0.0000,0.0000,0.0787,0.9676,-0.0445,0.2357,4.5300,1.3000,-8.5700,0.0000,0.0000,0.0000
41423,0,0,1,0.0000,3.7573,5.4712,1.8896,3.6035,0.0037,0.0000,-1.8018,0.8789,-0.0168,9.7779,0.0168,0.5798,-1.8921,0.0000,-0.0168,9.7779,0.0168,0.5798,-1.8921,0.0000,9.7772,-0.1884,0.1948,-0.0075,0.0088,0.0025,0.6324,-0.3345,-0.6152,-0.3313,0.6789,0.3382,-0.5820,0.2931,9.6900,1.1400,0.9200,0.0000,0.0000,0.0000,0.7052,0.1970,-0.6607,0.1648,9.7500,0.6300,0.5100,0.0000,0.0000,0.0000,0.0879,-0.9746,-0.0203,-0.2049,3.9200,-1.5700,-8.8200,0.0000,0.0000,0.0000,0.7351,0.0767,-0.6641,0.1124,9.7100,-0.3300,1.0500,0.0000,0.0000,0.0000,0.5678,0.4418,-0.5292,0.4496,9.7800,0.3100,0.4800,0.0000,0.0000,0.0000,0.0787,0.9676,-0.0445,0.2357,4.5300,1.3000,-8.5700,0.0000,0.0000,0.0000
41424,0,0,1,0.0000,3.7573,5.4712,1.8896,3.6035,0.0037,0.0110,-1.8018,0.8789,-0.0694,9.7875,0.0263,0.7019,-1.7395,-0.2441,-0.0694,9.7875,0.0263,0.7019,-1.7395,-0.2441,9.7772,-0.1884,0.1948,-0.0075,0.0088,0.0025,0.6324,-0.3345,-0.6152,-0.3313,0.6789,0.3382,-0.5820,0.2931,9.6900,1.1400,0.9200,0.0000,0.0000,0.0000,0.7052,0.1970,-0.6607,0.1648,9.7600,0.6200,0.5000,0.0000,0.0000,0.0000,0.0879,-0.9746,-0.0203,-0.2049,3.9400,-1.5700,-8.8200,0.0000,0.0000,0.0000,0.7351,0.0767,-0.6641,0.1124,9.7400,-0.3300,1.0400,0.0000,0.0000,0.0000,0.5678,0.4418,-0.5292,0.4496,9.7800,0.2900,0.4500,0.0000,0.0000,0.0000,0.0787,0.9676,-0.0445,0.2356,4.5300,1.3000,-8.5700,0.0000,0.0000,0.0000
41425,0,0,1,0.0000,3.7573,5.4932,1.8896,3.6255,0.0018,0.0256,-1.8018,0.8789,-0.0120,9.7636,0.0383,0.5798,-1.5259,-0.2441,-0.0120,9.7636,0.0383,0.5798,-1.5259,-0.2441,9.7680,-0.1826,0.1808,-0.0032,0.0080,0.0034,0.6324,-0.3345,-0.6151,-0.3313,0.6789,0.3382,-0.5820,0.2931,9.6500,1.0900,0.9400,0.0000,0.0000,0.0000,0.7052,0.1970,-0.6607,0.1648,9.7600,0.6200,0.5000,0.0000,0.0000,0.0000,0.0879,-0.9746,-0.0203,-0.2049,3.9400,-1.5600,-8.8200,0.0000,0.0000,0.0000,0.7351,0.0767,-0.6641,0.1124,9.7300,-0.3200,1.0500,0.0000,0.0000,0.0000,0.5678,0.4418,-0.5292,0.4496,9.7800,0.2900,0.4500,0.0000,0.0000,0.0000,0.0787,0.9676,-0.0445,0.2357,4.5400,1.3000,-8.5800,0.0000,0.0000,0.0000
41426,0,0,1,0.0000,3.7573,5.4932,1.8896,3.6255,0.0000,0.0201,-1.8018,0.8789,-0.0431,9.7731,0.0144,0.5798,-1.7395,-0.1526,-0.0431,9.7731,0.0144,0.5798,-1.7395,-0.1526,9.7680,-0.1826,0.1808,-0.0032,0.0080,0.0034,0.6324,-0.3345,-0.6151,-0.3313,0.6789,0.3382,-0.5820,0.2931,9.6600,1.1000,0.9300,0.0000,0.0000,0.0000,0.7052,0.1970,-0.6607,0.1648,9.7400,0.6100,0.4800,0.0000,0.0000,0.0000,0.0879,-0.9746,-0.0203,-0.2049,3.9400,-1.5600,-8.8200,0.0000,0.0000,0.0000,0.7351,0.0767,-0.6641,0.1124,9.7300,-0.3200,1.0400,0.0000,0.0000,0.0000,0.5678,0.4418,-0.5292,0.4496,9.7700,0.2900,0.4900,0.0000,0.0000,0.0000,0.0787,0.9676,-0.0445,0.2357,4.5300,1.3000,-8.5700,0.0000,0.0000,0.0000
41427,0,0,1,0.0000,3.7573,5.4932,1.8896,3.6255,-0.0055,-0.0256,-1.8018,0.8789,-0.0407,9.7683,0.0000,0.7324,-1.8921,-0.0916,-0.0407,9.7683,0.0000,0.7324,-1.8921,-0.0916,9.7680,-0.1826,0.1808,-0.0032,0.0080,0.0034,0.6324,-0.3345,-0.6151,-0.3313,0.6789,0.3382,-0.5820,0.2931,9.6600,1.1000,0.9300,0.0000,0.0000,0.0000,0.7052,0.1970,-0.6607,0.1648,9.7500,0.6100,0.4900,0.0000,0.0000,0.0000,0.0879,-0.9746,-0.0203,-0.2049,3.9300,-1.5600,-8.8200,0.0000,0.0000,0.0000,0.7351,0.0767,-0.6641,0.1124,9.7300,-0.3200,1.0400,0.0000,0.0000,0.0000,0.5678,0.4418,-0.5292,0.4496,9.7700,0.3000,0.4800,0.0000,0.0000,0.0000,0.0787,0.9676,-0.0445,0.2357,4.5400,1.2900,-8.5600,0.0000,0.0000,0.0000
41428,0,0,1,0.0000,3.7573,5.4932,1.8896,3.6255,0.0037,0.0183,-1.8018,0.8789,0.0000,9.7923,-0.0072,0.6714,-1.8005,-0.1221,0.0000,9.7923,-0.0072,0.6714,-1.8005,-0.1221,9.7480,-0.1971,0.1819,-0.0067,0.0059,0.0041,0.6324,-0.3345,-0.6151,-0.3313,0.6789,0.3381,-0.5820,0.2931,9.7000,1.1000,0.9400,0.0000,0.0000,0.0000,0.7052,0.1970,-0.6607,0.1648,9.7600,0.6100,0.4900,0.0000,0.0000,0.0000,0.0879,-0.9746,-0.0203,-0.2049,3.9400,-1.5800,-8.8100,0.0000,0.0000,0.0000,0.7351,0.0767,-0.6640,0.1124,9.7300,-0.3300,1.0300,0.0000,0.0000,0.0000,0.5678,0.4418,-0.5292,0.4496,9.8000,0.2800,0.4700,0.0000,0.0000,0.0000,0.0787,0.9676,-0.0445,0.2357,4.5400,1.2900,-8.5600,0.0000,0.0000,0.0000
