LoopCnt,H10Mode,H10AssistLevel,ImuHubConnected,SyncSignal,LeftHipAngle,RightHipAngle,LeftThighAngle,RightThighAngle,LeftHipTorque,RightHipTorque,LeftHipMotorAngle,RightHipMotorAngle,LeftHipImuGlobalAccX,LeftHipImuGlobalAccY,LeftHipImuGlobalAccZ,LeftHipImuGlobalGyrX,LeftHipImuGlobalGyrY,LeftHipImuGlobalGyrZ,RightHipImuGlobalAccX,RightHipImuGlobalAccY,RightHipImuGlobalAccZ,RightHipImuGlobalGyrX,RightHipImuGlobalGyrY,RightHipImuGlobalGyrZ,TrunkIMU_LocalAccX,TrunkIMU_LocalAccY,TrunkIMU_LocalAccZ,TrunkIMU_LocalGyrX,TrunkIMU_LocalGyrY,TrunkIMU_LocalGyrZ,TrunkIMU_QuatW,TrunkIMU_QuatX,TrunkIMU_QuatY,TrunkIMU_QuatZ,L_THIGH_IMU_QuatW,L_THIGH_IMU_QuatX,L_THIGH_IMU_QuatY,L_THIGH_IMU_QuatZ,L_THIGH_IMU_AccX,L_THIGH_IMU_AccY,L_THIGH_IMU_AccZ,L_THIGH_IMU_GyrX,L_THIGH_IMU_GyrY,L_THIGH_IMU_GyrZ,L_SHANK_IMU_QuatW,L_SHANK_IMU_QuatX,L_SHANK_IMU_QuatY,L_SHANK_IMU_QuatZ,L_SHANK_IMU_AccX,L_SHANK_IMU_AccY,L_SHANK_IMU_AccZ,L_SHANK_IMU_GyrX,L_SHANK_IMU_GyrY,L_SHANK_IMU_GyrZ,L_FOOT_IMU_QuatW,L_FOOT_IMU_QuatX,L_FOOT_IMU_QuatY,L_FOOT_IMU_QuatZ,L_FOOT_IMU_AccX,L_FOOT_IMU_AccY,L_FOOT_IMU_AccZ,L_FOOT_IMU_GyrX,L_FOOT_IMU_GyrY,L_FOOT_IMU_GyrZ,R_THIGH_IMU_QuatW,R_THIGH_IMU_QuatX,R_THIGH_IMU_QuatY,R_THIGH_IMU_QuatZ,R_THIGH_IMU_AccX,R_THIGH_IMU_AccY,R_THIGH_IMU_AccZ,R_THIGH_IMU_GyrX,R_THIGH_IMU_GyrY,R_THIGH_IMU_GyrZ,R_SHANK_IMU_QuatW,R_SHANK_IMU_QuatX,R_SHANK_IMU_QuatY,R_SHANK_IMU_QuatZ,R_SHANK_IMU_AccX,R_SHANK_IMU_AccY,R_SHANK_IMU_AccZ,R_SHANK_IMU_GyrX,R_SHANK_IMU_GyrY,R_SHANK_IMU_GyrZ,R_FOOT_IMU_QuatW,R_FOOT_IMU_QuatX,R_FOOT_IMU_QuatY,R_FOOT_IMU_QuatZ,R_FOOT_IMU_AccX,R_FOOT_IMU_AccY,R_FOOT_IMU_AccZ,R_FOOT_IMU_GyrX,R_FOOT_IMU_GyrY,R_FOOT_IMU_GyrZ
69788,0,0,1,0.0000,4.3945,7.1191,3.5596,6.2842,0.0018,-0.0073,-0.4395,1.8018,-0.1891,9.8210,-0.2346,1.6785,-1.3733,0.7935,-0.1891,9.8210,-0.2346,1.6785,-1.3733,0.7935,9.7784,0.1477,0.3277,0.0074,0.0065,-0.0010,0.7200,0.0110,-0.6938,0.0016,0.3758,-0.5437,-0.3941,-0.6385,9.7100,0.8400,0.9300,0.0000,0.0000,0.0000,0.4068,-0.5407,-0.3950,-0.6213,9.7000,0.4400,0.8900,0.0000,0.0000,0.0000,0.1413,-0.9562,-0.1730,-0.1889,3.9900,-1.9700,-8.6900,0.0000,0.0000,0.0000,0.6687,0.2969,-0.5814,0.3556,9.6800,-0.1100,1.4400,0.0000,0.0000,0.0000,0.5235,0.4495,-0.5130,0.5104,9.7500,-0.4600,0.6400,0.0000,0.0000,0.0000,0.0778,0.9657,-0.0955,0.2282,4.4900,1.0200,-8.6300,0.0000,0.0000,0.0000
69789,0,0,1,0.0000,4.3945,7.1191,3.5596,6.2842,0.0128,-0.0110,-0.4395,1.8018,-0.2634,9.7636,-0.2849,1.4038,-0.9155,0.7629,-0.2634,9.7636,-0.2849,1.4038,-0.9155,0.7629,9.7784,0.1477,0.3277,0.0074,0.0065,-0.0010,0.7200,0.0110,-0.6938,0.0016,0.3758,-0.5437,-0.3941,-0.6384,9.6900,0.8400,0.9500,0.0000,0.0000,0.0000,0.4068,-0.5407,-0.3949,-0.6213,9.7200,0.4800,0.8900,0.0000,0.0000,0.0000,0.1413,-0.9562,-0.1730,-0.1889,3.9800,-1.9700,-8.7000,0.0000,0.0000,0.0000,0.6687,0.2969,-0.5814,0.3556,9.6900,-0.1100,1.4000,0.0000,0.0000,0.0000,0.5235,0.4495,-0.5130,0.5104,9.7200,-0.4800,0.6600,0.0000,0.0000,0.0000,0.0778,0.9657,-0.0955,0.2282,4.4800,1.0100,-8.6400,0.0000,0.0000,0.0000
69790,0,0,1,0.0000,4.3945,7.1191,3.5596,6.2842,-0.0092,-0.0037,-0.4395,1.8018,-0.2466,9.7636,-0.2274,1.4954,-1.1902,0.2136,-0.2466,9.7636,-0.2274,1.4954,-1.1902,0.2136,9.7894,0.1313,0.3146,0.0050,0.0051,0.0007,0.7201,0.0110,-0.6938,0.0016,0.3758,-0.5437,-0.3941,-0.6384,9.6900,0.8400,0.9500,0.0000,0.0000,0.0000,0.4068,-0.5407,-0.3949,-0.6213,9.7200,0.4800,0.8800,0.0000,0.0000,0.0000,0.1413,-0.9562,-0.1730,-0.1889,3.9900,-1.9500,-8.6900,0.0000,0.0000,0.0000,0.6688,0.2968,-0.5814,0.3556,9.7400,-0.1500,1.3800,0.0000,0.0000,0.0000,0.5235,0.4495,-0.5130,0.5104,9.7200,-0.4800,0.6600,0.0000,0.0000,0.0000,0.0778,0.9657,-0.0955,0.2282,4.4800,1.0100,-8.6400,0.0000,0.0000,0.0000
69791,0,0,1,0.0000,4.3945,7.1191,3.5596,6.2842,-0.0183,0.0201,-0.4395,1.8018,-0.2155,9.7923,-0.2801,1.6479,-1.1902,0.5798,-0.2155,9.7923,-0.2801,1.6479,-1.1902,0.5798,9.7894,0.1313,0.3146,0.0050,0.0051,0.0007,0.7201,0.0110,-0.6938,0.0016,0.3758,-0.5437,-0.3942,-0.6384,9.7000,0.8300,0.9300,0.0000,0.0000,0.0000,0.4068,-0.5407,-0.3949,-0.6213,9.7200,0.4800,0.8800,0.0000,0.0000,0.0000,0.1413,-0.9562,-0.1730,-0.1889,3.9800,-1.9800,-8.7000,0.0000,0.0000,0.0000,0.6688,0.2968,-0.5814,0.3556,9.6700,-0.1400,1.3600,0.0000,0.0000,0.0000,0.5236,0.4495,-0.5130,0.5104,9.7600,-0.4700,0.6600,0.0000,0.0000,0.0000,0.0778,0.9657,-0.0955,0.2282,4.4600,1.0100,-8.6500,0.0000,0.0000,0.0000
69792,0,0,1,0.0000,4.3945,7.1191,3.5596,6.2842,0.0238,0.0183,-0.4395,1.8018,-0.2514,9.7348,-0.2394,1.3733,-0.9155,0.5188,-0.2514,9.7348,-0.2394,1.3733,-0.9155,0.5188,9.7894,0.1313,0.3146,0.0050,0.0051,0.0007,0.7201,0.0110,-0.6938,0.0016,0.3758,-0.5437,-0.3942,-0.6384,9.7100,0.8500,0.9500,0.0000,0.0000,0.0000,0.4068,-0.5407,-0.3949,-0.6213,9.7500,0.4700,0.9000,0.0000,0.0000,0.0000,0.1413,-0.9562,-0.1730,-0.1889,3.9900,-2.0000,-8.7200,0.0000,0.0000,0.0000,0.6688,0.2968,-0.5814,0.3556,9.6800,-0.1600,1.3600,0.0000,0.0000,0.0000,0.5236,0.4495,-0.5130,0.5104,9.7600,-0.4500,0.6700,0.0000,0.0000,0.0000,0.0778,0.9657,-0.0955,0.2282,4.4500,1.0200,-8.6400,0.0000,0.0000,0.0000
69793,0,0,1,0.0000,4.3945,7.1191,3.5596,6.2842,0.0110,0.0110,-0.4395,1.8018,-0.1413,9.8306,-0.2538,1.5259,-1.1292,0.5188,-0.1413,9.8306,-0.2538,1.5259,-1.1292,0.5188,9.7573,0.1349,0.3255,0.0085,0.0057,0.0016,0.7201,0.0111,-0.6938,0.0017,0.3759,-0.5437,-0.3942,-0.6384,9.7000,0.8200,0.9500,0.0000,0.0000,0.0000,0.4068,-0.5407,-0.3949,-0.6213,9.7300,0.4800,0.9400,0.0000,0.0000,0.0000,0.1413,-0.9562,-0.1730,-0.1889,3.9900,-2.0000,-8.7200,0.0000,0.0000,0.0000,0.6688,0.2968,-0.5814,0.3555,9.6600,-0.1500,1.3800,0.0000,0.0000,0.0000,0.5236,0.4495,-0.5130,0.5104,9.7500,-0.4600,0.6900,0.0000,0.0000,0.0000,0.0778,0.9657,-0.0955,0.2282,4.4600,1.0300,-8.6400,0.0000,0.0000,0.0000
69794,0,0,1,0.0000,4.3945,7.1191,3.5596,6.2842,0.0092,-0.0110,-0.4395,1.8018,-0.2274,9.7875,-0.2777,1.5869,-1.3123,0.5798,-0.2274,9.7875,-0.2777,1.5869,-1.3123,0.5798,9.7573,0.1349,0.3255,0.0085,0.0057,0.0016,0.7201,0.0111,-0.6938,0.0017,0.3759,-0.5437,-0.3942,-0.6384,9.7100,0.8300,0.9500,0.0000,0.0000,0.0000,0.4068,-0.5407,-0.3949,-0.6213,9.7500,0.5000,0.9800,0.0000,0.0000,0.0000,0.1413,-0.9562,-0.1730,-0.1889,4.0000,-1.9700,-8.7200,0.0000,0.0000,0.0000,0.6688,0.2968,-0.5814,0.3555,9.6600,-0.1500,1.3800,0.0000,0.0000,0.0000,0.5236,0.4495,-0.5130,0.5104,9.7400,-0.4500,0.6900,0.0000,0.0000,0.0000,0.0778,0.9657,-0.0955,0.2282,4.4800,1.0400,-8.6500,0.0000,0.0000,0.0000
69795,0,0,1,0.0000,4.3945,7.1191,3.5596,6.2842,-0.0128,0.0110,-0.4395,1.8018,-0.2418,9.8330,-0.2969,1.5564,-1.0071,0.4578,-0.2418,9.8330,-0.2969,1.5564,-1.0071,0.4578,9.7521,0.1320,0.3312,0.0054,0.0074,-0.0037,0.7201,0.0111,-0.6938,0.0017,0.3759,-0.5437,-0.3942,-0.6384,9.7100,0.8300,0.9500,0.0000,0.0000,0.0000,0.4068,-0.5407,-0.3949,-0.6213,9.7800,0.5100,1.0300,0.0000,0.0000,0.0000,0.1413,-0.9562,-0.1730,-0.1889,4.0000,-1.9700,-8.7100,0.0000,0.0000,0.0000,0.6689,0.2968,-0.5814,0.3555,9.6600,-0.1400,1.4200,0.0000,0.0000,0.0000,0.5236,0.4495,-0.5130,0.5104,9.7400,-0.4500,0.6900,0.0000,0.0000,0.0000,0.0778,0.9657,-0.0955,0.2282,4.4800,1.0400,-8.6500,0.0000,0.0000,0.0000
69796,0,0,1,0.0000,4.3945,7.1191,3.5596,6.2842,-0.0073,-0.0128,-0.4395,1.8018,-0.2514,9.7588,-0.2610,1.7090,-1.0681,0.5798,-0.2514,9.7588,-0.2610,1.7090,-1.0681,0.5798,9.7521,0.1320,0.3312,0.0054,0.0074,-0.0037,0.7201,0.0111,-0.6938,0.0017,0.3759,-0.5437,-0.3942,-0.6384,9.7200,0.8600,0.9500,0.0000,0.0000,0.0000,0.4068,-0.5407,-0.3949,-0.6213,9.7800,0.5100,1.0300,0.0000,0.0000,0.0000,0.1413,-0.9562,-0.1730,-0.1889,4.0000,-1.9700,-8.7100,0.0000,0.0000,0.0000,0.6689,0.2967,-0.5814,0.3555,9.6700,-0.1400,1.5000,0.0000,0.0000,0.0000,0.5236,0.4495,-0.5130,0.5104,9.7600,-0.4700,0.6700,0.0000,0.0000,0.0000,0.0778,0.9657,-0.0955,0.2282,4.5000,1.0500,-8.6300,0.0000,0.0000,0.0000
69797,0,0,1,0.0000,4.3945,7.1191,3.5596,6.2842,0.0146,0.0201,-0.4395,1.8018,-0.2083,9.7731,-0.2777,1.8311,-1.3428,0.4883,-0.2083,9.7731,-0.2777,1.8311,-1.3428,0.4883,9.7521,0.1320,0.3312,0.0054,0.0074,-0.0037,0.7201,0.0111,-0.6938,0.0017,0.3759,-0.5437,-0.3942,-0.6384,9.7200,0.8300,0.9500,0.0000,0.0000,0.0000,0.4068,-0.5407,-0.3949,-0.6213,9.7700,0.5300,1.0300,0.0000,0.0000,0.0000,0.1413,-0.9562,-0.1730,-0.1889,4.0100,-1.9700,-8.7100,0.0000,0.0000,0.0000,0.6689,0.2967,-0.5813,0.3555,9.6900,-0.1300,1.4800,0.0000,0.0000,0.0000,0.5235,0.4495,-0.5130,0.5104,9.7400,-0.4600,0.6800,0.0000,0.0000,0.0000,0.0778,0.9657,-0.0955,0.2282,4.4700,1.0300,-8.6300,0.0000,0.0000,0.0000
